ID	Well1	Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Comamonadaceae_Unassigned sp. 2G9	2_G9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 2G9
Lysobacter sp. 21A9	21_A9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 21A9
Variovorax sp. 5A3	5_A3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Unassigned	Variovorax sp. 5A3
Bosea sp. 5H11	5_H11	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Unassigned	Bosea sp. 5H11
Lysobacter sp. 19E3	19_E3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 19E3
Comamonadaceae_Unassigned sp. 2A9	2_A9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 2A9
Rhizobium sp. 18F2	18_F2	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	Rhizobium sp. 18F2
Lysobacter sp. 2B6	2_B6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 2B6
Pseudoxanthomonas sp. 19C11	19_C11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unassigned	Pseudoxanthomonas sp. 19C11
Rhizobium sp. 2D3	2_D3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	Rhizobium sp. 2D3
Comamonadaceae_Unassigned sp. 2E9	2_E9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 2E9
Sphingomonadaceae_Unassigned sp. 18C7	18_C7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae_Unassigned	Unassigned	Sphingomonadaceae_Unassigned sp. 18C7
Caulobacter sp. 25H3	25_H3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Unassigned	Caulobacter sp. 25H3
Pseudomonas sp. 19H8	19_H8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	Pseudomonas sp. 19H8
Brevundimonas sp. 19D3	19_D3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	Brevundimonas sp. 19D3
Pseudomonas sp. 7E4	7_E4	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	Pseudomonas sp. 7E4
