ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV3517	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Burkholderiaceae	Cupriavidus	Unclassified
ASV3518	Bacteria	Proteobacteria	Sphingomonadales	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unclassified
ASV3519	Bacteria	Verrucomicrobiota	Opitutales	Opitutales	Opitutaceae	Lacunisphaera	Unclassified
ASV3521	Bacteria	Myxococcota	Polyangiales	Polyangiales	o_Polyangiales|f_Unclassified	o_Polyangiales|f_|g_Unclassified	Unclassified
ASV3523	Bacteria	Patescibacteria	Saccharimonadales	Saccharimonadales	Saccharimonadaceae	f_Saccharimonadaceae|g_Unclassified	Unclassified
ASV3524	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	uncultured_Desulfuromonadales
ASV3525	Bacteria	Acidobacteriota	Subgroup_7	Subgroup_7	Subgroup_7	Subgroup_7	uncultured_Desulfovirga
ASV3526	Bacteria	Acidobacteriota	Blastocatellales	Blastocatellales	Blastocatellaceae	f_Blastocatellaceae|g_Unclassified	Unclassified
ASV3527	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	metagenome
ASV3528	Bacteria	Acidobacteriota	Bryobacterales	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_actinobacterium
ASV3529	Bacteria	Myxococcota	Polyangiales	Polyangiales	Sandaracinaceae	f_Sandaracinaceae|g_uncultured	Unclassified
ASV3530	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	Unclassified
ASV3531	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_Actinomycetales
ASV3533	Bacteria	Gemmatimonadota	Gemmatimonadales	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unclassified
ASV3534	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_Unclassified	o_Gaiellales|f_|g_Unclassified	Unclassified
ASV3535	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	TRA3-20	TRA3-20	uncultured_Burkholderiaceae
ASV3536	Bacteria	Acidobacteriota	Acidobacteriales	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Edaphobacter	Unclassified
ASV3537	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	SC-I-84	SC-I-84	Unclassified
ASV3538	Bacteria	Firmicutes	Paenibacillales	Paenibacillales	Paenibacillaceae	Paenibacillus	Unclassified
ASV3539	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	Piscinibacter	Unclassified
ASV3540	Bacteria	Proteobacteria	Xanthomonadales	Xanthomonadales	Xanthomonadaceae	f_Xanthomonadaceae|g_Unclassified	Unclassified
ASV3541	Bacteria	Acidobacteriota	Subgroup_2	Subgroup_2	Subgroup_2	Subgroup_2	uncultured_soil
ASV3543	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Oxalobacteraceae	f_Oxalobacteraceae|g_Unclassified	Unclassified
ASV3544	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	f_Comamonadaceae|g_Unclassified	Unclassified
ASV3545	Bacteria	Proteobacteria	Elsterales	Elsterales	o_Elsterales|f_Unclassified	o_Elsterales|f_|g_Unclassified	Unclassified
ASV3548	Bacteria	Actinobacteriota	Propionibacteriales	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides_halotolerans
ASV3549	Bacteria	Proteobacteria	p_Proteobacteria|c_uncultured	p_Proteobacteria|c_|o_uncultured	p_Proteobacteria|c_|o_|f_uncultured	p_Proteobacteria|c_|o_|f_|g_uncultured	Rhodospirillaceae_bacterium
ASV3550	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_uncultured	o_Gaiellales|f_|g_uncultured	Unclassified
ASV3553	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	Unclassified
ASV3554	Bacteria	Proteobacteria	CCD24	CCD24	CCD24	CCD24	Unclassified
ASV3555	Bacteria	Actinobacteriota	p_Actinobacteriota|c_|o_Unclassified	p_Actinobacteriota|c_|o_Unclassified	p_Actinobacteriota|c_|o_|f_Unclassified	p_Actinobacteriota|c_|o_|f_|g_Unclassified	Unclassified
ASV3557	Bacteria	Actinobacteriota	Solirubrobacterales	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	Unclassified
ASV3560	Bacteria	Myxococcota	Polyangiales	Polyangiales	Sandaracinaceae	f_Sandaracinaceae|g_Unclassified	Unclassified
ASV3561	Bacteria	Proteobacteria	Diplorickettsiales	Diplorickettsiales	Diplorickettsiaceae	Aquicella	Aquicella_siphonis
ASV3564	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	f_Comamonadaceae|g_Unclassified	Unclassified
ASV3565	Bacteria	Actinobacteriota	Corynebacteriales	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
ASV3569	Bacteria	Bacteroidota	Chitinophagales	Chitinophagales	Chitinophagaceae	Niastella	Unclassified
ASV3571	Bacteria	Actinobacteriota	Corynebacteriales	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia_tengchongensis
ASV3573	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_Methylocystaceae
ASV3574	Bacteria	Actinobacteriota	Frankiales	Frankiales	Frankiaceae	Jatrophihabitans	Unclassified
ASV3575	Bacteria	Actinobacteriota	Solirubrobacterales	Solirubrobacterales	o_Solirubrobacterales|f_Unclassified	o_Solirubrobacterales|f_|g_Unclassified	Unclassified
ASV3576	Bacteria	Gemmatimonadota	Gemmatimonadales	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unclassified
ASV3577	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	o_Vicinamibacterales|f_uncultured	o_Vicinamibacterales|f_|g_uncultured	unidentified
ASV3578	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	uncultured_Firmicutes
