Plants, soil_type,group,treat,subgroup,genotype,weight
249,HS,DT,NS,DT_NS,rsl2rsl4,53.4
250,HS,DT,NS,DT_NS,rsl2rsl4,112.8
251,HS,DT,NS,DT_NS,rsl2rsl4,168.7
252,HS,DT,NS,DT_NS,rsl2rsl4,79.2
253,HS,DT,NS,DT_NS,rsl2rsl4,107.9
254,HS,DT,NS,DT_NS,rsl2rsl4,94.8
255,HS,DT,NS,DT_NS,rsl2rsl4,70.1
256,HS,DT,NS,DT_NS,rsl2rsl4,88.9
257,HS,DT,NS,DT_NS,rsl2rsl4,117.6
258,HS,DT,NS,DT_NS,rsl2rsl4,120.6
259,HS,DT,NS,DT_NS,rsl2rsl4,101.2
260,HS,DT,NS,DT_NS,rsl2rsl4,74.4
261,HS,DT,NS,DT_NS,rhd7,101.9
262,HS,DT,NS,DT_NS,rhd7,108.6
263,HS,DT,NS,DT_NS,rhd7,86.8
264,HS,DT,NS,DT_NS,rhd7,132.6
265,HS,DT,NS,DT_NS,rhd7,65.1
266,HS,DT,NS,DT_NS,rhd7,110.2
267,HS,DT,NS,DT_NS,rhd7,85.3
268,HS,DT,NS,DT_NS,rhd7,80.8
269,HS,DT,NS,DT_NS,rhd7,88.8
270,HS,DT,NS,DT_NS,rhd7,77.6
271,HS,DT,NS,DT_NS,rhd7,80.2
272,HS,DT,NS,DT_NS,rhd7,69.2
273,HS,DT,NS,DT_NS,rhd7,62.4
274,HS,DT,NS,DT_NS,rhd7,75.9
275,HS,DT,NS,DT_NS,rhd7,72
276,HS,DT,NS,DT_NS,rhd7,98.8
277,HS,DT,NS,DT_NS,rhd7,62.1
278,HS,DT,NS,DT_NS,rhd7,74.2
279,HS,DT,NS,DT_NS,rhd7,82
280,HS,DT,NS,DT_NS,rhd7,83.1
281,HS,WT,NS,WT_NS,gl2,217.4
282,HS,WT,NS,WT_NS,gl2,185.8
283,HS,WT,NS,WT_NS,gl2,190
284,HS,WT,NS,WT_NS,gl2,148.8
285,HS,WT,NS,WT_NS,gl2,143
286,HS,WT,NS,WT_NS,gl2,118.1
287,HS,WT,NS,WT_NS,gl2,161.5
288,HS,WT,NS,WT_NS,gl2,105.3
289,HS,WT,NS,WT_NS,gl2,178.9
290,HS,WT,NS,WT_NS,gl2,212.6
291,HS,WT,NS,WT_NS,gl2,175.7
292,HS,WT,NS,WT_NS,gl2,60.2
293,HS,WT,NS,WT_NS,gl2,138.6
294,HS,WT,NS,WT_NS,gl2,132.5
295,HS,WT,NS,WT_NS,gl2,125.9
296,HS,WT,NS,WT_NS,gl2,133.3
297,HS,WT,NS,WT_NS,rhd7,126
298,HS,WT,NS,WT_NS,rhd7,161.1
299,HS,WT,NS,WT_NS,rhd7,168
300,HS,WT,NS,WT_NS,rhd7,155.1
301,HS,WT,NS,WT_NS,rhd7,91.3
302,HS,WT,NS,WT_NS,rhd7,89.8
303,HS,WT,NS,WT_NS,rhd7,91.4
304,HS,WT,NS,WT_NS,rhd7,149.3
305,HS,WT,NS,WT_NS,rhd7,140
306,HS,WT,NS,WT_NS,rhd7,140.4
307,HS,WT,NS,WT_NS,rhd7,143.2
308,HS,WT,NS,WT_NS,rhd7,129.4
309,HS,WT,NS,WT_NS,rhd7,108
310,HS,WT,NS,WT_NS,rhd7,121.3
311,HS,WT,NS,WT_NS,rhd7,150
312,HS,WT,NS,WT_NS,rhd7,96.9
313,HS,WT,NS,WT_NS,Col_0,203.6
314,HS,WT,NS,WT_NS,Col_0,215.1
315,HS,WT,NS,WT_NS,Col_0,179.2
316,HS,WT,NS,WT_NS,Col_0,215
317,HS,WT,NS,WT_NS,Col_0,150.6
318,HS,WT,NS,WT_NS,Col_0,150.1
319,HS,WT,NS,WT_NS,Col_0,148.4
320,HS,WT,NS,WT_NS,Col_0,137.9
321,HS,WT,NS,WT_NS,Col_0,139.3
322,HS,WT,NS,WT_NS,Col_0,125.7
323,HS,WT,NS,WT_NS,Col_0,163.4
324,HS,WT,NS,WT_NS,Col_0,188.6
325,HS,WT,NS,WT_NS,Col_0,154.7
326,HS,WT,NS,WT_NS,Col_0,162.1
327,HS,WT,NS,WT_NS,Col_0,150
328,HS,WT,NS,WT_NS,Col_0,162
329,HS,WT,NS,WT_NS,cpc,203.6
330,HS,WT,NS,WT_NS,cpc,114.9
331,HS,WT,NS,WT_NS,cpc,170.5
332,HS,WT,NS,WT_NS,cpc,121.6
333,HS,WT,NS,WT_NS,cpc,138.4
334,HS,WT,NS,WT_NS,cpc,178.9
335,HS,WT,NS,WT_NS,cpc,165.8
336,HS,WT,NS,WT_NS,cpc,129.8
337,HS,WT,NS,WT_NS,cpc,140.9
338,HS,WT,NS,WT_NS,cpc,146
339,HS,WT,NS,WT_NS,cpc,120.2
340,HS,WT,NS,WT_NS,cpc,106.7
341,HS,WT,NS,WT_NS,cpc,76.5
342,HS,WT,NS,WT_NS,cpc,111.3
343,HS,WT,NS,WT_NS,cpc,132.8
344,HS,WT,NS,WT_NS,cpc,156.7
345,HS,WT,NS,WT_NS,rsl2rsl4,226.7
346,HS,WT,NS,WT_NS,rsl2rsl4,202.7
347,HS,WT,NS,WT_NS,rsl2rsl4,128.4
348,HS,WT,NS,WT_NS,rsl2rsl4,201.4
349,HS,WT,NS,WT_NS,rsl2rsl4,170.2
350,HS,WT,NS,WT_NS,rsl2rsl4,155.1
351,HS,WT,NS,WT_NS,rsl2rsl4,167.2
352,HS,WT,NS,WT_NS,rsl2rsl4,160.6
353,HS,WT,NS,WT_NS,rsl2rsl4,163.9
354,HS,WT,NS,WT_NS,rsl2rsl4,167.6
355,HS,WT,NS,WT_NS,rsl2rsl4,151.2
356,HS,WT,NS,WT_NS,rsl2rsl4,136.7
357,HS,WT,NS,WT_NS,rsl2rsl4,169.8
358,HS,WT,NS,WT_NS,rsl2rsl4,188.9
359,HS,WT,NS,WT_NS,rsl2rsl4,140.5
360,HS,WT,NS,WT_NS,rsl2rsl4,153.9
361,HS,DT,NS,DT_NS,Col_0,79.7
362,HS,DT,NS,DT_NS,Col_0,126.1
363,HS,DT,NS,DT_NS,gl2,155.5
364,HS,DT,NS,DT_NS,gl2,52.3
365,HS,DT,NS,DT_NS,gl2,76.4
366,HS,DT,NS,DT_NS,rsl2rsl4,53.3
367,HS,DT,NS,DT_NS,rsl2rsl4,75.4
368,HS,DT,NS,DT_NS,rsl2rsl4,57.4
369,HS,DT,NS,DT_NS,cpc,54.4
370,HS,DT,NS,DT_NS,cpc,111.1
371,HS,DT,NS,DT_NS,cpc,118.2
372,HS,DT,NS,DT_NS,cpc,82.4
